UID        PID  PPID  C STIME TTY          TIME CMD
nobody     899   727  0 13:41 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1056   783  0 13:41 ?        00:00:00 lightdm --session-child 12 15
ben       1062     1  0 13:41 ?        00:00:00 /lib/systemd/systemd --user
ben       1065  1062  0 13:41 ?        00:00:00 (sd-pam)
ben       1068  1056  0 13:41 ?        00:00:00 /sbin/upstart --user
ben       1081     1  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --clipboard
ben       1082  1081  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --clipboard
ben       1091     1  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --display
ben       1092  1091  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --display
ben       1098     1  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --seamless
ben       1099  1098  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --seamless
ben       1103     1  0 13:41 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
ben       1104  1103 47 13:41 ?        02:52:56 /usr/bin/VBoxClient --draganddrop
ben       1218  1068  0 13:41 ?        00:00:00 upstart-udev-bridge --daemon --user
ben       1219  1068  0 13:41 ?        00:00:11 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-7rNam0Lkkn
ben       1231  1068  0 13:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
ben       1256  1068  0 13:41 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
ben       1258  1068  0 13:41 ?        00:00:02 upstart-dbus-bridge --daemon --session --user --bus-name session
ben       1259  1068  0 13:41 ?        00:00:37 /usr/bin/ibus-daemon --daemonize --xim
ben       1267  1068  0 13:41 ?        00:00:00 upstart-file-bridge --daemon --user
ben       1273  1068  0 13:41 ?        00:00:00 gnome-keyring-daemon --start --components ssh
ben       1279  1068  0 13:41 ?        00:00:00 gpg-agent --homedir /home/ben/.gnupg --use-standard-socket --daemon
ben       1291  1068  0 13:41 ?        00:00:00 /usr/lib/gvfs/gvfsd
ben       1296  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
ben       1303  1068  0 13:42 ?        00:00:12 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
ben       1305  1259  0 13:42 ?        00:00:00 /usr/lib/ibus/ibus-dconf
ben       1307  1259  0 13:42 ?        00:00:09 /usr/lib/ibus/ibus-ui-gtk3
ben       1317  1068  0 13:42 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
ben       1328  1068  0 13:42 ?        00:00:28 /usr/lib/x86_64-linux-gnu/hud/hud-service
ben       1330  1068  0 13:42 ?        00:00:02 /usr/lib/unity-settings-daemon/unity-settings-daemon
ben       1337  1068  0 13:42 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
ben       1338  1068  0 13:42 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
ben       1340  1068  0 13:42 ?        00:00:21 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
ben       1353  1337  0 13:42 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
ben       1360  1068  0 13:42 ?        00:00:00 /usr/lib/dconf/dconf-service
ben       1398  1068  0 13:42 ?        00:00:02 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root      1418     1  0 13:42 ?        00:00:00 /usr/lib/upower/upowerd
ben       1420  1068 15 13:42 ?        00:55:25 compiz
ben       1449  1259  0 13:42 ?        00:00:09 /usr/lib/ibus/ibus-engine-simple
ben       1454  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
ben       1457  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
ben       1458  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
ben       1459  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
ben       1460  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
ben       1461  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
ben       1462  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
ben       1466  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
ben       1472  1068  0 13:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
colord    1477     1  0 13:42 ?        00:00:00 /usr/lib/colord/colord
ben       1501  1068  0 13:42 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1504     1  0 13:42 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
ben       1526  1068  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
ben       1550  1338  0 13:42 ?        00:00:01 nm-applet
ben       1552  1338  0 13:42 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
ben       1553  1338  0 13:42 ?        00:00:40 /usr/bin/gnome-software --gapplication-service
ben       1556  1338  0 13:42 ?        00:01:49 nautilus -n
ben       1568  1338  0 13:42 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
ben       1603  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
ben       1606  1068  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
root      1613     1  0 13:42 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
ben       1625  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
ben       1630  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
ben       1635  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
ben       1640  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
root      1655     1  0 13:42 ?        00:00:01 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
ben       1662  1068  0 13:42 ?        00:00:02 /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
ben       1690  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
ben       1700  1606  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1606x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1606/2
ben       1711  1606  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1606x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1606/3
ben       1712  1068  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
ben       1719  1712  0 13:42 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1712x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1712/2
ben       1773  1338  0 13:42 ?        00:00:02 zeitgeist-datahub
ben       1780  1068  0 13:42 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
ben       1784  1780  0 13:42 ?        00:00:01 /usr/bin/zeitgeist-daemon
ben       1791  1068  0 13:42 ?        00:00:02 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
ben       1819  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.5 /org/gtk/gvfs/exec_spaw/3
