UID        PID  PPID  C STIME TTY          TIME CMD
ryanliu9  2894  2872  0 18:59 ?        00:00:00 /usr/lib/ibus/ibus-dconf
ryanliu9  2899  2655  0 18:59 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
ryanliu9  2900  2872  0 18:59 ?        00:00:03 /usr/lib/ibus/ibus-ui-gtk3
ryanliu9  2905  2655  0 18:59 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
ryanliu9  2910  2899  0 18:59 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
ryanliu9  2913  2655  0 18:59 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
ryanliu9  2924  2872  0 18:59 ?        00:00:06 /usr/lib/ibus/ibus-engine-simple
ryanliu9  2936  2655  0 18:59 ?        00:00:02 /usr/lib/x86_64-linux-gnu/hud/hud-service
ryanliu9  2938  2655  0 18:59 ?        00:00:01 /usr/lib/unity-settings-daemon/unity-settings-daemon
ryanliu9  2947  2655  0 18:59 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
ryanliu9  2956  2655  0 18:59 ?        00:00:02 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
ryanliu9  2992  2655  0 18:59 ?        00:00:00 /usr/lib/dconf/dconf-service
ryanliu9  3029  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
ryanliu9  3035  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
ryanliu9  3041  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
ryanliu9  3047  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
ryanliu9  3050  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
ryanliu9  3054  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
ryanliu9  3058  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
ryanliu9  3059  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
ryanliu9  3077  2655  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
ryanliu9  3102  2655  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
ryanliu9  3130  2655  0 18:59 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
ryanliu9  3146  2655  5 18:59 ?        00:05:56 compiz
ryanliu9  3228  2947  0 18:59 ?        00:00:41 nautilus -n
ryanliu9  3230  2947  0 18:59 ?        00:00:06 /usr/bin/gnome-software --gapplication-service
ryanliu9  3232  2655  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
ryanliu9  3233  2947  0 18:59 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
